Overlay,HeritagePlace,PaintControls,InternalControls,TreeControls,FenceControls,IncludedInVHR,Included,VHR,Prohibited,AboriginalHeritagePlace,Status,Expiry
HO283,"rear 179 SOMERSET STREET RICHMOND St James Roman Catholic Church Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO283,HO283
HO284,"2 STAWELL STREET RICHMOND Fincham Organ Factory Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO284,HO284
HO285,"291 SWAN STREET RICHMOND Former Central Club Hotel Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO285,HO285
HO286,"365 SWAN STREET RICHMOND Former Burnley Theatre Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO286,HO286
HO287,Yarra River SWAN STREET RICHMOND Wallen Road Bridge,-,-,-,-,Yes Ref No H380,Yes,H380,No,No,HO287,HO287
HO288,216 SWAN STREET CREMORNE Former State Bank,-,-,-,-,Yes Ref No H732,Yes,H732,No,No,HO288,HO288
HO289,"316 VICTORIA STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO289,HO289
HO290,"318-326 VICTORIA STREET RICHMOND Byrne’s Arcade Terrace Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO290,HO290
HO291,"488-496 VICTORIA STREET RICHMOND Former Simpson’s Glove Factory Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO291,HO291
HO292,Yarra River VICTORIA STREET RICHMOND Victoria Bridge,-,-,-,-,Yes Ref No H374,Yes,H374,No,No,HO292,HO292
HO293,"5 WELLINGTON STREET RICHMOND Former Freemason’s Tavern Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO293,HO293
HO294,"15 WELLINGTON STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO294,HO294
HO295,"67 WELLINGTON STREET RICHMOND Former Sutherland’s Distillery Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO295,HO295
HO296,"79-93 & 80-94 WELLINGTON STREET RICHMOND Warrick Terrace and Leicester Terrace Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO296,HO296
HO297,"Yarra River YARRA BOULEVARD RICHMOND Hawthorn Railway Bridge Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO297,HO297
HO298,"BURNLEY PARKLANDS RICHMOND Corroboree Tree Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,Yes,No,No,No,,No,Yes,HO298,HO298
HO299,"THE BOULEVARD RICHMOND The Boulevard Parklands, The Boulevard, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,Yes,No,No,No,,No,No,HO299,HO299
