,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"Floor 3/205 Johnston St, Fitzroy VIC 3065, Australia",EjVGbG9vciAzLCAyMDUgSm9obnN0b24gU3QsIEZpdHpyb3kgVklDIDMwNjUsIEF1c3RyYWxpYSIjGiEKFgoUChIJOXjSMCBD1moRZCS6JwVN5O8SB0Zsb29yIDM,Floor 3 7/205 Johnston St Fitzroy  VIC  3065      ,-37.7985283,144.9822237,2,3065,OK,subpremise
0,ROOFTOP,"369 Gore St, Fitzroy VIC 3065, Australia",ChIJgxPH1CFD1moRudPWgth9B1A,Floor 4 414/416 Gore St Fitzroy  VIC  3065        ,-37.798255,144.982961,1,3065,OK,"establishment,home_goods_store,point_of_interest,store"
0,ROOFTOP,"Fy 1/3 Belgium Ave, Richmond VIC 3121, Australia",EjFGeSAxLCAzIEJlbGdpdW0gQXZlLCBSaWNobW9uZCBWSUMgMzEyMSwgQXVzdHJhbGlhIiAaHgoWChQKEgmXVjBv-kLWahEUXWQ5t6yINRIERnkgMQ,Fy 1-3/ Belgium Ave Richmond  VIC  3121           ,-37.8141077,144.9975852,1,3121,OK,subpremise
0,GEOMETRIC_CENTER,"F R Smith Dr, Burnley VIC 3121, Australia",ChIJqVI3C0FC1moRDTMJrNRGDSs,Gillon Pavilion 6 F R Smith Dr Burnley  VIC  3121 ,-37.8305931,145.0231666,1,3121,OK,route
0,ROOFTOP,"47-51 Gipps St, Collingwood VIC 3066, Australia",ChIJcSc2gOFC1moRr28XQOYe6jA,Glasshouse Hotel 47-51 Gipps St Collingwood  VIC  ,-37.8048099,144.9885784,1,3066,OK,street_address
0,ROOFTOP,"5, 104 Commonwealth St, Surry Hills NSW 2010, Australia",ChIJ9aN3EhiuEmsRuZxrH3OyLgw,Gnd & 1st Fl 163 Victoria Pde Fitzroy  VIC  3065  ,-33.8805213,151.2109824,1,2010,OK,"establishment,point_of_interest"
0,GEOMETRIC_CENTER,"Gray St, Clifton Hill VIC 3068, Australia",ChIJp-h9RwlD1moRDn7NBvv63YU,Gray St Clifton Hill  VIC  3068                   ,-37.7943737,145.0005304,1,3068,OK,route
0,GEOMETRIC_CENTER,"Brunton Ave, Richmond VIC 3002, Australia",ChIJgWIaV5VC1moR-bKgR9ZfV2M,Ground & 1st Floor 221 Kerr St Fitzroy  VIC  3065 ,-37.8199669,144.9834493,1,3002,OK,"establishment,point_of_interest,stadium"
0,GEOMETRIC_CENTER,"Brunton Ave, Richmond VIC 3002, Australia",ChIJgWIaV5VC1moR-bKgR9ZfV2M,Ground & 1st Floor 368 Gore St Fitzroy  VIC  3065 ,-37.8199669,144.9834493,1,3002,OK,"establishment,point_of_interest,stadium"
0,GEOMETRIC_CENTER,"Brunton Ave, Richmond VIC 3002, Australia",ChIJgWIaV5VC1moR-bKgR9ZfV2M,Ground & 1st Floor 390 Gore St Fitzroy  VIC  3065 ,-37.8199669,144.9834493,1,3002,OK,"establishment,point_of_interest,stadium"
0,GEOMETRIC_CENTER,"Brunton Ave, Richmond VIC 3002, Australia",ChIJgWIaV5VC1moR-bKgR9ZfV2M,Ground & Ist Floor 388 Gore St Fitzroy  VIC  3065 ,-37.8199669,144.9834493,1,3002,OK,"establishment,point_of_interest,stadium"
0,GEOMETRIC_CENTER,"Brunton Ave, Richmond VIC 3002, Australia",ChIJgWIaV5VC1moR-bKgR9ZfV2M,Ground & Part 1st Floor 131-135 Johnston St Fitzro,-37.8199669,144.9834493,1,3002,OK,"establishment,point_of_interest,stadium"
0,ROOFTOP,"Ace Parking |, 1 Allowah Terrace, Richmond VIC 3121, Australia",ChIJg_iTn-dC1moRvmIQq2TvoLE,Ground And First Floor 1 Allowah Tce Richmond  VIC,-37.818941,144.995479,1,3121,OK,"establishment,parking,point_of_interest"
0,ROOFTOP,"Ground Floor 1/134 Victoria St, Richmond VIC 3121, Australia",Ej1Hcm91bmQgRmxvb3IgMSwgMTM0IFZpY3RvcmlhIFN0LCBSaWNobW9uZCBWSUMgMzEyMSwgQXVzdHJhbGlhIioaKAoWChQKEgnr4wJm-0LWahGkd8RfcolDrRIOR3JvdW5kIEZsb29yIDE,Ground Floor 1/134 Victoria St Richmond  VIC  3121,-37.810239,144.9959222,1,3121,OK,subpremise
